,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Projection Depth,Range,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
0,PB61019,Center CB Centresuite basin with two tap holes 550mm White,Center CB,34.76,This Center CB two tap hole 550mm wall-mounted basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Center CB Centresuite basin with two tap holes 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/19/NW-B61019_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/B61019 - Center 2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Center_B61019_Line Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,,,,,,,,,,,,,,,,,,
1,PB61018,Center CB Centresuite basin with one tap hole 550mm White,Center CB,34.5,This Center CB single tap hole 550mm basin is made of tough vitreous china with a high gloss white finish.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Center CB Centresuite basin with one tap hole 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/NW-B61018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B61018LineDrawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8_/18/Care_Instructions_22_08_18.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ic/Installation_Ins_Basins_Generic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ld/B61018_Center_2012_550mm_1TH_LD.pdf,,,,,,,,,,,,,,,,,,
2,PD02363,Ideal Standard Sandringham 21 1 tap hole left hand handrinse basin 350mm White,Ideal Standard,63.24,"Made of tough vitreous china, this Ideal Standard Sandringham 21 350mm handrinse washbasin with single left hand tap hole has a compact wall-mounted design ideal for bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Sandringham 21 1 tap hole left hand handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/63/NW-D02363_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02363_Technical.pdf,,,,,,,,,,,,,,,,,,,,
3,PC22616,Nabis Deco ceramic basin 500mm,Nabis,163.08,Nabis Deco ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Nabis Deco ceramic basin 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/16/NW-C22616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,
4,PD04641,Ideal Standard Tempo one tap hole basin 550mm white,Ideal Standard,70.52,"The softly streamlined Ideal Standard Tempo 550mm washbasin with a single tap hole is designed for use with full or semi pedestals. This basin is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Tempo one tap hole basin 550mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/41/NW-D04641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04641_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,
5,PD00633,Roca Laura A325315000 2 tap hole basin 450mm White,Roca,78.93,"Elegantly curved, this Roca Laura 450mm basin with two tap holes looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Laura A325315000 2 tap hole basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-D00633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00633_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
6,PD74699,Ideal Standard i.Life S guest basin 1 tap hole (right-hand) 45cm,Ideal Standard,98.52,"Part of a range of contemporary bathroom furniture pieces designed to streamline your interior, the Ideal Standard i.Life 450mm guest bathroom washbasin offers flexibility of installation with optional mounting on a wall, a pedestal or on a vanity. Helping to maximise space in awkwardly shaped rooms, the i.Life range blends compact dimensions with functionality and style.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard i.Life S guest basin 1 tap hole (right-hand) 45cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/99/D74699_wm.jpg,,,,,White,250,i.Life S,N,250,No,"Wall, pedestal or furniture mounting",Fine Fireclay,1,T518601,Guest washbasin,N,Designed by Palomba Serafini Associati,"Suitable for wall, pedestal or furniture mounting",Space-saving design for small bathrooms,With 1x right-hand taphole,Fine fireclay construction,White finish
7,PB20000,Twyford Classic 2 tap hole basin 560mm White,Twyford,39.85,"Suitable for domestic or commercial bathrooms, the Twyford Classic 560mm wall hung washbasin has a highly practical design with two tap holes and a clear centre shelf area.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Twyford Classic 2 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-B20000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Classic_560_Washbasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
8,PD04643,TEMPO T058801 500MM 1TH BASIN WHITE,Ideal Standard,70.52,"The softly streamlined Ideal Standard Tempo 500mm washbasin with a single tap hole is designed for use with full or semi pedestals. This basin is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> TEMPO T058801 500MM 1TH BASIN WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/43/NW-D04643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04643_Technical.pdf,,,,,,,,,,,,,,,,,,,,
9,PN66955,"Ideal Standard i.life B Washbasin, 1 taphole",Ideal Standard,87.47,"Designed for modern bathrooms, the Ideal Standard i.Life B 500mm washbasin has a simple, sleek design in robust ceramic with a glossy white finish.Supplied with a single taphole for ease of fitting a mixer tap of choice, the wall-mounted i.Life B basin is part of an extensive range, making designing your dream bathroom a breeze.","Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard i.life B Washbasin, 1 taphole",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/55/N66955_wm.jpg,,,,,White/Gloss,290,,N,440,No,Wall,Ceramic,1,E256201,Contemporary,N,Designed by Palomba Serafini Associati,Contemporary style,Ceramic construction,White gloss finish,For wall mounting,With single taphole
10,PP71190,Geberit Selnova Square handrinse basin 1 tap 360 x 280mm,Geberit,70.92,"Modern yet understated, the design of the Geberit Selnova Square 360 x 280mm handrinse basin makes it the ideal choice for a bathroom refit. This smart and high-quality basin with asymmetrical overflow is made of vitreous china with a timeless white finish and is designed for mounting on a pedestal.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Geberit Selnova Square handrinse basin 1 tap 360 x 280mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-P71190_P71191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_Square_H_Basin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
11,PD02365,Ideal Standard Sandringham 21 2 tap hole handrinse basin 350mm White,Ideal Standard,63.24,"Made of tough vitreous china, this Ideal Standard Sandringham 21 350mm handrinse washbasin with two tap holes has a compact wall-mounted design ideal for bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Sandringham 21 2 tap hole handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/65/NW-D02365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02365_Technical.pdf,,,,,,,,,,,,,,,,,,,,
12,PD04644,Ideal Standard Tempo two tap hole basin 500mm White,Ideal Standard,70.52,"The softly streamlined Ideal Standard Tempo 500mm washbasin with two tap holes is designed for use with full or semi pedestals. This basin is made of neat, long lasting vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Tempo two tap hole basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/44/NW-D04644_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D04644_Technical.pdf,,,,,,,,,,,,,,,,,,,,
13,PD13890,Roca Havana 1 tap hole cloakroom basin,Roca,52.91,"Made of white ceramic, the Roca Havana cloakroom basin measures 450 x 370mm. It is suitable for mounting on the wall, helping to free up floor space.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Havana 1 tap hole cloakroom basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/91/NW-D13890_D13891_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
14,PP07592,Geberit Selnova handrinse basin 1 tap 450 x 360mm,Geberit,73.61,"With its classic design, the Geberit Selnova 450 x 370mm handrinse basin will blend seamlessly into just about any bathroom decor. Suitable for wall mounting, this smart basin is made of robust vitreous china with a clean white finish.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Geberit Selnova handrinse basin 1 tap 450 x 360mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/95/NW-P07592_P07595_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
15,PC22615,Nabis Deco cloakroom ceramic basin 400mm,Nabis,108.11,Nabis Deco cloakroom ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Nabis Deco cloakroom ceramic basin 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/15/NW-C22615_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,
16,PC24455,Ideal Standard Concept Arc 1 right hand tap hole handrinse basin 350 x 260 White,Ideal Standard,73.4,The gracefully designed Ideal Standard Concept Arc 350mm handrinse washbasin with single right hand tap hole is suitable for wall or pedestal mounting and offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Concept Arc 1 right hand tap hole handrinse basin 350 x 260 White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/55/NW-C24455_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21344_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,,,,,,,,,,,,,,,,,,,,
17,PN66488,Ideal Standard iLife corner handwash basin UKP White,Ideal Standard,92.81,"An elegant space-saving design, the Ideal Standard i.Life UKP corner handwash basin is suitable for installation in a cloakroom or small en-suite. Clean-lined and modern, this basin is part of the comprehensive i.Life range of bathroom furniture and fittings.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard iLife corner handwash basin UKP White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/88/N66488_wm.jpg,,,,,White/Gloss,225,iLIFE,N,410,No,Wall,Ceramic,1,E246501,handrinse,N,Designed by Palomba Serafini Associati,For wall mounted or pedestal installation,For corner installation,Ceramic construction,Gloss white finish,
18,PD02364,Ideal Standard Sandringham 21 1 tap hole right hand handrinse basin 350mm White,Ideal Standard,63.24,"Made of tough vitreous china, this Ideal Standard Sandringham 21 350mm handrinse washbasin with single right hand tap hole has a compact wall-mounted design ideal for bathrooms where space is at a premium.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Sandringham 21 1 tap hole right hand handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/64/NW-D02364_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02364_Technical.pdf,,,,,,,,,,,,,,,,,,,,
19,PP64401,Geberit Selnova Compact handrinse basin 1 tap 450 x 340mm,Geberit,88.31,"With its smaller overall size, the Geberit Selnova Compact 450 x 340mm handrinse basin is an ideal choice for small bathrooms, en-suites or cloakrooms. Made of vitreous china with a classic white finish, this basin is suitable for pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Geberit Selnova Compact handrinse basin 1 tap 450 x 340mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/02/NW-P64401_P64402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_Compact_HBasin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
20,PN66487,Ideal Standard iLife handwash basin right hand UKP 35cm White,Ideal Standard,63.38,"An elegant space-saving design, the Ideal Standard i.Life 350mm UKP handwash basin is suitable for installation in a cloakroom or small en-suite. Clean-lined and modern, this basin is part of the comprehensive i.Life range of bathroom furniture and fittings.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard iLife handwash basin right hand UKP 35cm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/87/N66487_wm.jpg,,,,,White/Gloss,185,iLIFE,N,300,No,Wall,Ceramic,1,E246301,handrinse,N,Designed by Palomba Serafini Associati,For wall mounted installation,Right-handed installation,Ceramic construction,Gloss white finish,
