,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Projection Depth,Range,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
21,PC22618,* NABIS 800MM CERAMIC BASIN,Nabis,201.38,Nabis Deco ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> * NABIS 800MM CERAMIC BASIN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/18/NW-C22618_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,
22,PB10900,Ideal Standard Alto/Studio cloakroom pedestal White,Ideal Standard,44.27,"Made of white vitreous china, this Ideal Standard Alto/Studio handrinse pedestal helps to conceal basin pipework for a smarter finish in your bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Alto/Studio cloakroom pedestal White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/00/NW-B10900_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B10900_Technical.pdf,,,,,,,,,,,,,,,,,,,,
23,PP71192,Geberit Selnova Square handrinse basin 1 tap 450 x 350mm,Geberit,77.31,"Modern yet understated, the design of the Geberit Selnova Square 450 x 350mm handrinse basin makes it the ideal choice for a bathroom refit. This smart and high-quality basin is made of vitreous china with a timeless white finish and is designed for mounting on a pedestal.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Geberit Selnova Square handrinse basin 1 tap 450 x 350mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/93/NW-P71192_P71193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_SelnovaSquare_Handrinse_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
24,PD00670,Roca Polo 1 tap hole basin 560mm White,Roca,49.16,"Ideal for period bathrooms, the traditional Roca Polo 560mm single tap hole washbasin is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Polo 1 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/70/NW-D00670_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_Polo_56_Basin_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,
25,PC21365,Ideal Standard Concept Arc two tap hole handrinse basin 350mm White,Ideal Standard,73.4,The gracefully designed Ideal Standard Concept Arc 350mm handrinse washbasin with single tap hole is suitable for wall or pedestal mounting and offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Concept Arc two tap hole handrinse basin 350mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-C21365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21365_Technical.pdf,,,,,,,,,,,,,,,,,,,,
26,PD00632,Roca Laura A325314005 1 tap hole basin 450mm White,Roca,78.93,"Elegantly curved, this Roca Laura 450mm basin with a single tap hole looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Laura A325314005 1 tap hole basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/32/NW-D00632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00632_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
27,PD44944,Roca Debba One tap hole basin 550mm white,Roca,125.75,The Roca Debba 550mm wall hung basin with single tap hole has a softly rounded contemporary design ideal for minimalist en suite bathrooms and cloakrooms.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Debba One tap hole basin 550mm white,,Wall-hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/44/NW-D44944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44944_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
28,PD00659,Roca Laura 1 tap hole basin 520mm White,Roca,82.03,"Elegantly curved, this Roca Laura 520mm basin with a single tap hole looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Laura 1 tap hole basin 520mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/59/NW-D00659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00659_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
29,PD44950,Roca Debba A32599700U one tap hole basin 450mm White,Roca,120.22,The Roca Debba 450mm wall hung basin with single tap hole has a softly rounded contemporary design ideal for minimalist en suite bathrooms and cloakrooms.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Debba A32599700U one tap hole basin 450mm White,,Wall-hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/50/NW-D44950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D44950_Technical.pdf,,,,,,,,,,,,,,,,,,
30,PD00764,Roca The Gap one tap hole basin 450 x 420mm White,Roca,100.44,"Compact, functional and smart, this Roca The Gap 450mm wall-hung basin with a single central tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca The Gap one tap hole basin 450 x 420mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/64/NW-D00764_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00764_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
31,PD13203,Roca Debba A32599600U one tap hole basin 500mm White,Roca,125.75,The Roca Debba 500mm wall hung basin with single tap hole has a softly rounded contemporary design ideal for minimalist en suite bathrooms and cloakrooms.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Debba A32599600U one tap hole basin 500mm White,,Wall-hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/03/NW-D13203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D13203_Technical.pdf,,,,,,,,,,,,,,,,,,
32,PD41580,Roca Senso Square A32751C000 One tap hole square basin 550mm white,Roca,159.21,"With its modern angular design, the Roca Senso Square 550mm wall hung basin with one tap hole is ideal for contemporary bathrooms. Manufactured from high quality vitreous china, this basin is built to last.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Senso Square A32751C000 One tap hole square basin 550mm white,,Wall-hung basin;Fixing kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/80/NW-D41580_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D41580_Technical.pdf,,,,,,,,,,,,,,,,,,
33,PD00765,Roca The Gap A327476000 one tap hole basin 500 x 420mm White,Roca,114.58,"Compact, functional and smart, this Roca The Gap 500mm wall-hung basin with a single central tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca The Gap A327476000 one tap hole basin 500 x 420mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/65/NW-D00765_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00765_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
34,PD00759,Roca The Gap one tap hole basin 550 x 470mm White,Roca,117.7,"Compact, functional and smart, this Roca The Gap 550mm wall-hung basin with a single tap hole has a modern design and robust, easy-clean vitreous china build, ideal for family bathrooms.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca The Gap one tap hole basin 550 x 470mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/59/NW-D00759_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Discovery_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00759_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,
35,PP07596,Geberit Selnova handrinse basin 1 tap 360 x 290,Geberit,67.55,"Offering an asymmetrical overflow and neat sizing, the Geberit Selnova 360 x 290mm handrinse basin will fit seamlessly into almost any bathroom and design scheme. Made of vitreous china with a white finish, this classically designed basin is suitable for wall mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Geberit Selnova handrinse basin 1 tap 360 x 290,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/97/NW-P07596_P07597_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Selnova_AOverflow_Basin_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
36,PC22617,Nabis Deco ceramic basin 600mm,Nabis,170.49,Nabis Deco ceramic basin is designed specifically to complement the washbasin furniture. Stylish range of ceramic basin designed to complement the beautiful Deco range of bathroom furniture.,Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Nabis Deco ceramic basin 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/17/NW-C22617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Deco_Ceramic_Basins_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22615-C22618_Installation.pdf,,,,,,,,,,,,,,,,,,,,
37,PD00658,Roca Laura 2 tap hole basin 520mm White,Roca,82.03,"Elegantly curved, this Roca Laura 520mm basin with two tap holes looks great in any bathroom. Functional and robust, this vitreous china basin is designed for wall mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Laura 2 tap hole basin 520mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/58/NW-D00658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Everyday_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00658_Technical.pdf,,,,,,,,,,,,,,,,,,
38,PD00671,Roca Polo 2 tap hole basin 560mm White,Roca,49.16,"Ideal for period bathrooms, the traditional Roca Polo 560mm two tap hole washbasin is suitable for wall or pedestal mounting.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Roca Polo 2 tap hole basin 560mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/71/D00671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_Polo_56_Basin_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Roca_Basins_Generic_Install.pdf,,,,,,,,,,,,,,,,,,,
39,PC21371,Ideal Standard Concept Cube one tap hole short basin 550mm White,Ideal Standard,108.83,"The sleek, modern Ideal Standard Concept Cube 550mm short projection washbasin with single tap hole is suitable for wall or pedestal mounting and offers compatibility with a range of design-matched bathroom furniture for a smart combination of functionality and style.",Bathrooms and Kitchens/Bathroom Sinks/Cloakroom Basins/Cloakroom Basins.csv -> Ideal Standard Concept Cube one tap hole short basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/71/NW-C21371_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21371_Technical.pdf,,,,,,,,,,,,,,,,,,,,
