,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Anti Slip,Colour,Grip Holes,Hazardous,Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Thickness,Warranty,Material
0,PA03234,Nabis Panel bath end panel 700x510mm white,Nabis,15.63,"Easy to install and smartly designed, this Nabis 700mm bath end panel has a white gloss finish to suit most bathrooms.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Nabis Panel bath end panel 700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/36/A03234_36_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_MonroeDoubleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BardotSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,
1,PD09661,Ideal Standard Sandringham 21 bath end panel 700mm White,Ideal Standard,14.94,"Reliably tough, the Ideal Standard Sandringham 21 700mm bath end panel is made of 40mm thick acrylic with a smart white gloss finish. Simply designed, this panel is conceived to blend in with the Sandringham range of bathroom fittings.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Ideal Standard Sandringham 21 bath end panel 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/61/NW-D09661_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Bathroom_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
2,PA73200,Ideal Standard Uniline super strength end panel 700mm White,Ideal Standard,67.1,"Ultra-strong, this Ideal Standard Uniline 700mm bath end panel is made of high impact polystyrene with a rigid honeycomb backing. Finished in white gloss, this tough 40mm thick panel blends with most bathroom interiors.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Ideal Standard Uniline super strength end panel 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/00/NW-A73200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,
3,PA03235,Nabis Panel bath end panel 750x510mm white,Nabis,15.63,"Easy to install and smartly designed, this Nabis 750mm bath end panel has a white gloss finish to suit most bathrooms.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Nabis Panel bath end panel 750x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/36/A03234_36_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_CampbellSinglEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Jones_SingleEndBath_Technical.pdf,,,,,,,,,,,,,,,,,,,
4,PA03215,Nabis Taylor shower bath P-shape end panel 750x510mm white,Nabis,30.19,Nabis Taylor P shaped front panel is easy to install and has a modern style that allows it to blend with any bathroom design.,Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Nabis Taylor shower bath P-shape end panel 750x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/1_/15/A03211_15_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_TaylorPShapeBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_TaylorPShapeBathPanel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_TaylorPShapeBath_Installation.pdf,,,,,,,,,,,,,,,,,,
5,PA00241,Twyford David Wilson bath end panel White,Twyford,110.07,"With a modern, minimal design that wonâ€™t look out of place in the traditionally styled or contemporary bathroom and suitable for most baths, this Twyford 700 x 510mm twin skin bath end panel is trimmable to fit your needs.  Made of double-skinned polystyrene with an outer skin of 3mm and a 2mm inner skin, this tough panel has a bonded, deep-ribbed backing for additional rigidity.  Simple to install, the bath panel is secured under the bath rim using clips provided, making it easy to remove should access to plumbing work be required and creating a sleek, tidy finish in all styles of bathroom.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Twyford David Wilson bath end panel White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/A00241_Primary_Image_wm.jpg,,,,,N,White/Gloss,N,N,None,PP8075WH,Bath End Panel,N,Deep ribbing for strength and rigidity,Universal panel,Can be trimmed to fit,Acrylic construction,Exact colour match to Twyford baths,2 year warranty,,,,
6,PA73726,Ideal Standard Unilux end panel 700mm White,Ideal Standard,62.69,"Complementing almost any bathroom design, this Ideal Standard Unilux 510 x 700mm bath end panel is made of acrylic with a smart white gloss finish. Robustly made, this 18mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Ideal Standard Unilux end panel 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/26/NW-A73726_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,
7,PA64400,Ideal Standard Nisa bath end panel 700mm White,Ideal Standard,32.83,"Suitable for use with steel baths, the Ideal Standard Nisa 700mm flat bath end panel has a simple design to fit most bathroom decors. It is made of tough18mm thick acrylic with a white gloss finish.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Ideal Standard Nisa bath end panel 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/00/NW-A64400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Nisa_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
8,PA61100,Twyford Omnifit bath end panel 800mm White,Twyford,36.33,"Compatible with most baths, the Twyford Omnifit bath end panel in white measures 518 x 800mm.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Twyford Omnifit bath end panel 800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/NW-A61100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Omnifit_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
9,PD00617,Roca Gap super thick bath end panel 700mm White,Roca,64.16,"Designed for acrylic baths, this Roca Gap ultra-thick 515 x 700mm bath end panel in white provides reliable rigidity.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Roca Gap super thick bath end panel 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/17/NW-D00617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00617_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
10,PA03222,Nabis Garland shower bath L-shape end panel 700x510mm white,Nabis,30.19,"Finished in white gloss, this Nabis Garland 510mm L-shaped end panel has a modern, simple design that will blend seamlessly into most bathroom schemes. Made of polystyrene, this panel is easy to install.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Nabis Garland shower bath L-shape end panel 700x510mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/8_/22/A03218_22_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_GarlandSingleEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,
11,PA81514,Color Board HDF hardboard end panel White,Color Board,10.83,"Made of robust HDF, this Colour Board 1220 x 3050mm bath end panel has a tough, long lasting white painted finish.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Color Board HDF hardboard end panel White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/14/NW-A81514_wm.jpg,,,,,,White,,N,,WT HDF E,Bath End Panel,N,Touch-free gravity fed application,MDF primed only for the construction industry,Opticoat on exterior plywood site hoardings,Durable finish,Two coat finish for wall linings,Hardboard cut to size,HDF,3 mm,n/a,Hardboard
12,PA17830,Ideal Standard Unilux end panel 750mm White,Ideal Standard,60.3,"Complementing almost any bathroom design, this Ideal Standard Unilux 510 x 750mm bath end panel is made of acrylic with a smart white gloss finish. Robustly made, this 18mm thick panel is built to last.",Bathrooms and Kitchens/Baths and Bath Panels/Bath End Panels/Bath End Panels.csv -> Ideal Standard Unilux end panel 750mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/30/NW-A17830_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/IS_Bath_Book_Brchr_2015.pdf,,,,,,,,,,,,,,,,,,,,,
