,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Weight,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 2,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Range For Use With,Feature 7,Feature 8
0,P117241,Grant adjustable vertical balanced flue kit 3mtr,Grant,528.2,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant adjustable vertical balanced flue kit 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/41/117241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,,,,,,,,,,
1,P333902,Grant standard flue kit (includes stainless steel terminal guard) 12-26kW Black pack,Grant,209.0,"This Grant round low level balanced standard flue kit is compatible with EZ-Fit, Vortex, VortexBlue units. It includes a stainless steel terminal duct and unique quick-fit self-sealing ducts so you're ensured a perfect seal with no need for silicone or tape jointing.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant standard flue kit (includes stainless steel terminal guard) 12-26kW Black pack,,"starter elbow with internal seal;Terminal elbow with external seal, Terminal guard, lubricant ;seals.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/05/115205_wm.jpg,,Black,52 kg,N,12-26 kW,Flue,"EZ-Fit, Vortex, VortexBlue",n/a,333902 PK,Standard Flue Kit,N,Low Level Flue for 12-26KW Internal Boilers & 26KW Combi Boiler Including S/S Terminal Guard External Black Finish,,,,,,,,,,
2,P117244,Grant high level vertical balanced flue extension (for 26 70 KW boilers) 950mm,Grant,122.04,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue extension (for 26 70 KW boilers) 950mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/44/117244_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
3,P117271,Grant 24hr single channel mechanical timer,Grant,53.39,This Grant Diehl-type 880 24 hour single channel mechanical time switch offers simple operation to effortlessly control your central heating timings.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant 24hr single channel mechanical timer,,Diehl type 880 24-hour single channel mechanical time switch;2x plastic fixing clamps;Wiring harness;Fitting and user instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/71/117271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_MTKIT_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
4,P117407,Grant Mag One magnetic central heating filter 28/22mm,Grant,121.09,"Working hard to protect your heating system, the innovative Grant MagOne magnetic filter protects system components from ongoing damage, increasing their effectiveness and lifespan. Using magnetic technology, the MagOne cleverly collects damaging non-ferrous debris and magnetite, removing it from the heating system.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Mag One magnetic central heating filter 28/22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/07/117407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Mag_One_Filter_Installation.pdf,,,,,,,,,
5,P117221,Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),Grant,482.43,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant vertical balanced flue kit 50-90 (for 15 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/21/117221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
6,P115205,Grant Yellow System standard flue kit (includes stainless steel terminal guard) 12-26kW Black,Grant,238.36,"This Grant round low level balanced standard flue kit is compatible with EZ-Fit, Vortex, VortexBlue units. It includes a stainless steel terminal duct and unique quick-fit self-sealing ducts so you're ensured a perfect seal with no need for silicone or tape jointing.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Yellow System standard flue kit (includes stainless steel terminal guard) 12-26kW Black,,"starter elbow with internal sealTerminal elbow with external seal, Terminal guard, lubricant and seals.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/05/115205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_EZ_Fit_Flue_Guide_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
7,P117389,Grant plume management kit (for 12 26KW boilers) 80mm x 2mtr,Grant,225.01,"A Grant adjustable plume management kit with starter elbow, terminal elbow and 1000mm long telescopic flue tubes plus seals. This kit is compatible with Grant oil boilers up to 26kW, measures 80mm x 2M and designed for use with the EZ-Fit yellow low level balanced flue system.  Plume management kits are used to solve the issue of nuisance pluming, where the plume from a condensing boiler causes an obstruction in a garden, side passage or courtyard. The kit simply redirects the plume away from the property to a more convenient location.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant plume management kit (for 12 26KW boilers) 80mm x 2mtr,,Starter elbow with internal sealTerminal elbow with external seal2x telescopic flue tube 1000mm long each comes with external sealAdjustable wall bracket2x Locking bandLocking band-telescopic joint2x self tapping screwsLubricant for sealsInstructions she,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/89/117389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_EZ_Fit_Flue_Guide_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
8,P138649,Grant plume kit,Grant,182.24,This Grant brand plume kit helps to prevent nuisance pluming outside a property.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant plume kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/49/138649_wm.jpg,,,2.26165,N,,Flue,Grant boilers,,NI GPDA90IRL,Plume Kit,N,Single wall stainless steel in 80mm & 100mm,,Plume diverter 1m kit or a 2m telescopic kit,Extensions available,Quick and simple installation,80mm diameter pipe for boilers up to 26kW,100mm diameter pipe for boilers up to 70kW,,,,
9,P117202,Grant low level extension (for 15 26KW boilers) 225mm,Grant,56.25,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant low level extension (for 15 26KW boilers) 225mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/02/117202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
10,P117225,Grant high level vertical balanced flue adjustable extension (for 12 26KW boilers),Grant,117.27,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue adjustable extension (for 12 26KW boilers),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/25/117225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
11,P115239,Grant Green System 45deg elbow 12-26kW Black,Grant,84.38,The Grant Green system 45° elbow is used alongside high level flues to create offsets for more convenient boiler siting. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System 45deg elbow 12-26kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/39/115239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/40/115239_115240.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,
12,P117351,Grant flexible kit (for 12 46KW boilers) 100mm x 8mtr,Grant,587.31,This Grant 8M E-Fit flexible flue kit is intended for the straightforward fitting of Vortex and VortexBlue boilers with no need to replace an existing chimney. This handy kit allows installers to re-use an original chimney and retain its existing position.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant flexible kit (for 12 46KW boilers) 100mm x 8mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/51/117351_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/73/52/117350_117352.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_ezFitFlueGuideOil_Instruction.pdf,,,
13,P117347,Grant adjustable extension (for 12 46KW boilers) 235 300mm White,Grant,56.25,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant adjustable extension (for 12 46KW boilers) 235 300mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/47/117347_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
14,P117223,Grant high level vertical balanced flue extension kit(for 12 26KW boilers) 450mm,Grant,71.99,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue extension kit(for 12 26KW boilers) 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/23/117223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
15,P115249,Grant Green System extended wall bracket 12-26kW Black,Grant,32.04,A Grant Green system extended wall bracket for the installation of a range of different boilers.,Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Green System extended wall bracket 12-26kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/_a/115249_A_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/50/115249_115250.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,
16,P115206,Grant Yellow System short flue kit (includes stainless steel terminal guard) 12-26kW Black,Grant,226.92,"Developed specifically for the installation of Grant brand boilers, this Grant Yellow low-level short flue kit provides secure fitting using a telescopic flue and quick-fit clamping for added speed and convenience.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Yellow System short flue kit (includes stainless steel terminal guard) 12-26kW Black,,Terminal guard;Seals ;locking bands,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/06/115206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/52/07/115206_115207.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_EZ-Fit_Flue_Guide.pdf,,,,,,,,,
17,P117149,Grant Yellow System adjustable plume diverter kit 80mm x 2mtr 26-70kw Black,Grant,245.03,"The Yellow system has been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the unique quick-fit clamp arrangement ensures a perfect seal every time. In fact, the new telescopic flue system requires only two simple operations to complete the installation. The kits are compatible with all Grant boilers, (except Outdoor Modules) including condensing models.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant Yellow System adjustable plume diverter kit 80mm x 2mtr 26-70kw Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/49/117149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/20/Grant_EZ-Fit_Flue_Guide_March_20.pdf,,,,,,,,,,,,,,,,,,,,,
18,P117222,Grant high level vertical balanced flue extension kit (for 12 26KW boilers) 225mm,Grant,64.84,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Boilers/Domestic Boiler Flues & Accessories/Grant Flues/Grant Flues.csv -> Grant high level vertical balanced flue extension kit (for 12 26KW boilers) 225mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/22/117222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Flue_Brochure.pdf,,,,,,,,,
