,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Feature 3,Attachment 2,Range,Weight,Dimensions mm (H x W x D),Application,Feature 4
14,P113308,Glow-worm flue support clips 200mm DN100 (Pack of 5),Glow-worm,42.0,"Designed for secure fitting in both vertical and horizontal installations, this pack of Glow-worm 200mm, DN100 flue support clips is designed to provide support for elbows and extensions in long flue runs.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue support clips 200mm DN100 (Pack of 5),,5x clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/08/NW-113308_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-Worm_Air_Flue_Systems_Install.pdf,,,,,
15,P333951,Glow-worm horizontal telescopic flue kit,Glow-worm,94.0,"This adaptor is for use in the flue section of Glow-worm boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm horizontal telescopic flue kit,,Horizontal Flue Kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/05/109305_wm.jpg,N,,Flue,Energy,,,333951 PK,Horizontal Flue Pack,N,Horizontal telescopic flue,for use with glow-worm boilers,,black terminal,,,1500 kg,,,60/100
16,P109304,Glow-worm vertical flue adaptor DN60/100,Glow-worm,18.9,"Compatible with select Glow-worm boilers, this Glow-worm DN60/100 vertical flue adapter helps to improve siting options for easier, more convenient installation.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm vertical flue adaptor DN60/100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/04/109304_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Energy_Installation.pdf,,,,,,,
17,P113294,Glow-worm variable termination kit (DN60) White,Glow-worm,85.05,"This Glow-worm plume management kit is used to solve the issue of nuisance pluming, where the plume caused by a condensing boiler causes an obstruction in a garden, side passage or courtyard. This neat, simple white piping fits onto a horizontal flue, redirecting the plume away from the flue duct.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm variable termination kit (DN60) White,,variable termination kit white,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/94/113294_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-worm_Energy_Ultimate_Install.pdf,,,,,,,
18,P108780,Glow-worm plume management kit extension 1mtr White,Glow-worm,19.96,A 1000mm Glow-worm brand extension.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm plume management kit extension 1mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/80/108780_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Energy_Brochure.pdf,,,,,,,
19,P411025,Glow-worm gasket exchanger/flue,Glow-worm,10.19,"A genuine Glow-worm spare, this gasket exchanger/flue is designed for Easicom, Energy 7, Sustain, Ultimate, Ultimate 2, Ultracom, Ultracom2, Betacom, British Gas, Energy, Energy 2, Flexicom, Home, MicraCom, Ultrapower, Eden, HXI, Ultimate 3, CXI, SXI, Essential and Xeon boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm gasket exchanger/flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/25/411025_wm.jpg,N,"Easicom 2 24, Easicom 24, 30r, 15s, 18s, 35C, 25s, 24CX, 38HXi, 30 SXi, Betacom 3 24C, Betacom 3 30C, Betacom 4 30C, BG330+, 30s, 35 Store, 30c P, 12r, 25s, 30c, 18HX, 24HX, 35HX, 12r, 30r, 24c, 12s, 24HXi, 30CXi, SXI 100, BG330, Sb, Vb, 25c, 25c, 30CX,",Flue,"Easicom, Energy 7, Sustain, Ultimate, Ultimate 2, Ultracom, Ultracom2, Betacom, British Gas, Energy, Energy 2, Flexicom, Home, MicraCom, Ultrapower, Eden, HXI, Ultimate 3, CXI, SXI, Essential, Xeon",E84986,"35CX,12 S,38CXI,30C,24c P,18 S,15r,25r,15s,35r,30SX,Betacom 24A,Easicom 28,Easicom 2 24,Betacom 4 24C,Easicom 24,Easicom 2 28,35C,25 S,30SXI,15HX,Ultimate 3 35c,Easicom 3 28c,18r,24HXI,18SXI,12r,1,30r,30HX,28C,Betacom 2 28,Cb",0020038076,Gasket Exchanger/Flue,N,"Compatible with Easicom, Energy 7, Sustain, Ultimate and Ultimate 2","Suitable for Ultracom, Ultracom2, Betacom, British Gas, Energy and Energy 2",,"Compatible with Flexicom, Home, MicraCom, Ultrapower, Eden and HXI",,,,,,"Can also be use in Ultimate 3, CXI, SXI, Essential and Xeon units"
20,P113287,Glow-worm small spacing frame,Glow-worm,53.55,"A small spacing frame for the easy installation of Glow-worm system and combi boilers. Creating additional space behind the boiler for pipework, this frame ensures a neat finish with obstructive pipes hidden out of sight.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm small spacing frame,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/86/113286_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/32/87/113287.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Betacom4_Brochure.pdf,,,,,
21,P108785,Glow-worm Flue Range 60/100 vertical flue terminal 60/100mm Black,Glow-worm,120.81,This Glow-worm 60/100mm vertical flue terminal is made of black polypropylene (PP). A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm Flue Range 60/100 vertical flue terminal 60/100mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/85/NW-108785_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow-worm_Energy_Brochure.pdf,,,,,,,
22,P443843,Glow-worm rear flue outlet cover,Glow-worm,18.96,"A genuine Glow-worm part, this rear flue outlet cover is suitable for Energy, Energy 7, Flexicom, Sustain, Home, Ultimate 2, British Gas, Energy 2, Easicom, Ultimate and Ultimate 3 boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm rear flue outlet cover,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/43/443843_wm.jpg,N,"25c, 25c, 30CX, 30HX, 35CX, 35HX, 35c, 12s, 18r, 25r, 15s, 30s, 35c, 15HX, 30c, 30r, 12s, 15r, 12HX, 18SX, 18r, 15s, 18s, 25r, 18r, 30c, 30r, 15r, BG330+, 30s, 30c P, 12r, 18s, 25s, 18HX, 12r, 25r, 30r, 12s, 18r, Easicom 3 25r, 12r, 15s, 18s, 25s, 35c, 3",Flue,"Energy, Energy 7, Flexicom, Sustain, Home, Ultimate 2, British Gas, Energy 2, Easicom, Ultimate, Ultimate 3",H42706,"35CX,12 S,24HX,30CX,30C,24H,30 S,18 S,15r,25r,15s,35r,30SX,18SX,18HX,24CX,35C,25 S,15HX,Easicom 3 25r,35HX,12HX,BG330,18r,25 C,12r,Ultimate 3 25r,30r,30HX",0020020719,Rear Outlet Cover,N,"Suitable for use with Energy, Energy 7, Flexicom, Sustain, Home, Ultimate 2, British Gas, Energy 2, Easicom, Ultimate and Ultimate 3 appliances",Rear outlet cover only,,,,,,,,
23,P200288,Glow-worm boiler adaptor 60/100 PP,Glow-worm,31.22,"This Glow-worm flue adapter is compatible with boilers in the Betacom, Compact, Energy, Easicon, MicraCom, Ultimate and Essential ranges.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm boiler adaptor 60/100 PP,,ConnectorAir pipe clamp,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/88/200288_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_Energy_Compact_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Air_Flue_Systems_Install.pdf,,,,,
24,P797311,Glow-worm flue cap test point,Glow-worm,17.12,"This Glow-worm test point cap is a part for use on Betacom, Easicom, Eden, Energy, Energy 7, Flexicom, Home, HXI, Sustain, Ultimate, Ultracom, Ultracom2, Ultrapower, CXI, Ultimate 3, British Gas, SXI, Ultimate 2, Energy 2, Essential and Xtramax boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue cap test point,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/11/797311_wm.jpg,N,"Betacom 30C, Easicom 28, Cb, 18s, 35 Store, 15r, 18HX, 30r, 15HXI, 38HXI, 18r, 35c, 24H, 35C, 12HXi, 15HXi, 24HXi, 18 SXi, SXI 170, Betacom 3 30C, 24CXI, 18r, 12r, 18r, 30c, 30r, 12HX, 25r, 30c, 12HXI, 15r, 25c, Ultimate 3 25s, Ultimate 3 35c, Betacom 24",Flue,"Betacom, Easicom, Eden, Energy, Energy 7, Flexicom, Home, HXI, Sustain, Ultimate, Ultracom, Ultracom2, Ultrapower, CXI, Ultimate 3, British Gas, SXI, Ultimate 2, Energy 2, Essential, Xtramax",H44205,"35CX,Betacom 2 24,12 S,30CX,38CXI,30C,Betacom 3 30C,30 S,Betacom 3 24C,Vb,15r,25r,15s,Betacom 4 30C,30CXI,Betacom 24C,Easicom 3 24c,Betacom 24A,Easicom 2 24,24CX,25 S,15HX,Easicom 3 25r,12HX,BG330,Easicom 3 28c,24CXI,18r,25 C,12r,28C,Betacom 2 28",0020020502,Test Point Cap,N,"Suitable for use with Betacom, Easicom, Eden, Energy, Energy 7, Flexicom, Home, HXI, Sustain, Ultimate, Ultracom, Ultracom2, Ultrapower, CXI, Ultimate 3, British Gas, SXI, Ultimate 2, Energy 2, Essential and Xtramax appliances",Test point cap only,,,,,,,,
25,P113309,Glow-worm flue support clips 100mm (Pack of 3),Glow-worm,52.5,This pack of three Glow-worm 100mm flue support clips is suitable for use when installing Glow-worm condensing boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm flue support clips 100mm (Pack of 3),,5x clips,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/09/NW-113309_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-Worm_Air_Flue_Systems_Install.pdf,,,,,
26,P113301,Glow-worm PP extension pipe 0.5mtr DN60/100,Glow-worm,42.0,"Designed to extend a flue by up to 0.5M, this Glow-worm DN60/100 extension pipe, made of white polypropylene (PP), offers compatibility with high efficiency condensing boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm PP extension pipe 0.5mtr DN60/100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/NW-113301_113302_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_Worm_Energy_Range_Brochure.pdf,,,,,,,
27,P109305,Glow-worm horizontal telescopic flue kit,Glow-worm,140.87,"This adaptor is for use in the flue section of Glow-worm boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Glow-worm Flues/Glow-worm Flues.csv -> Glow-worm horizontal telescopic flue kit,,Horizontal Flue Kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/05/109305_wm.jpg,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glowworm_Energy-Brochure.pdf,,,,,,,
