,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Hazardous,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pack Quantity,Range,Sector,Depth (mm),Warranty
0,P171676,Saracen 2 in 1 thermostatic mixing valve 15mm,Saracen,27.25,"Providing accurate temperature control, the Saracen 2-in-1 anti-scald thermostatic mixing valve is supplied with 15mm copper x copper compression end connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Saracen 2 in 1 thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/76/NW-171676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/16/76/A4_Saracen_171676.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
1,PD00775,Siamp Optima 50 dual flush outlet valve,Siamp,27.5,"The compact, water saving Siamp Optima 50 dual flush valve is cable operated allowing actuation at distance, lateral or head-on.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Siamp Optima 50 dual flush outlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/75/NW-D00775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Optima_50_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Optima_50_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PB92116,Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,Thomas Dudley,16.99,This Thomas Dudley Hydroflo side inlet valve with delay fill tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/B92116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P171677,Saracen 2 in 1 thermostatic mixing valve 22mm,Saracen,37.58,"Providing accurate temperature control, the Saracen 2-in-1 anti-scald thermostatic mixing valve is supplied with 22mm copper x copper compression end connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Saracen 2 in 1 thermostatic mixing valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/77/NW-171677_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/171677_Saracen_Data.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
4,P171678,Saracen 4 in 1 thermostatic mixing valve 15mm,Saracen,50.13,"Providing accurate temperature control, the Saracen 4-in-1 anti-scald thermostatic mixing valve is supplied with an angle valve and 15mm copper x copper compression end connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Saracen 4 in 1 thermostatic mixing valve 15mm,,Thermostatic mixing valveAngle valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/78/NW-171678_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/om/171676-79_Saracen_IOM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ac/en/A4_Saracen.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_TMV2_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
5,PB79104,Cistermiser IRC Urinal Flushing Infrared Control Valve IRC,Cistermiser,256.03,"The Cistermiser cistern-flushing urinal control valve with infrared motion sensor and solenoid valve assembly automatically manages water supply to a urinal cistern, activating the solenoid valve when motion is sensed, allowing water into the cistern. With a robust brass valve, compact body and an eco-friendly, cost saving Economy mode, this unit has front access to the battery compartment for convenient replacement and rear access to terminals.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Cistermiser IRC Urinal Flushing Infrared Control Valve IRC,,Control valveSolenoid valveSensor module,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/04/NW-B79104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79104_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Cistermiser_IRCUrinal_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
6,PB79100,Cistermiser Hydraulic Control Valve Standard Flush Cntrl Valve,Cistermiser,141.25,"The Cistermiser hydraulic control valve is designed for use with a urinal-flushing cistern. Built with a hydraulic valve mechanism with no mains or battery power required, this standard pressure automatic urinal flush promotes hygiene and ensures constant cleanliness.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Cistermiser Hydraulic Control Valve Standard Flush Cntrl Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/01/NW-B79100_B79101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Cistermiser_Hydraulic_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Cistermiser_Hydraulic_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Cistermiser_Hydra_Valve_HSLP_Install.pdf,,,,,,,,,,,,,,,,,,,,,,
7,P310912,Honeywell Home TM200VP hw home tm200vp 3/4e 15mm therm-mix valv,Honeywell Home,116.28,"Helping to make showering safer for everyone, this thermostatic mixing valve with scald protection is made of brass and offers 15mm connections and NBR seals. Used for localised control adjacent to point of use outlets, this valve automatically cuts off the hot water inlet should the incoming cold supply fail, providing the hot water inlet temperature is at least 10K higher than that of the mixed water setting.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Honeywell Home TM200VP hw home tm200vp 3/4e 15mm therm-mix valv,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/13/NW-310912_310913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_Resideo_TM200VP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,PB79122,Cistermiser replacement solenoid valve kit for IRC cistern valve,Cistermiser,121.83,A Cistermiser replacement solenoid valve kit for infrared urinal flush control valves.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Cistermiser replacement solenoid valve kit for IRC cistern valve,,Solenoid Valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/22/NW-B79122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,P870119,Reliance Valves Easifit union 4 in 1 TMV 22mm,Reliance Valves,113.12,A Radiance Valves Easifit 4-in-1 22mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 4 in 1 TMV 22mm,,Thermostatic mixing valve;Isolating valve;Check valve;Strainers;Test port,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/19/NW-870118_870119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
10,PD61046,"Rada thermostatic mixer valve 1/2""",Rada,283.79,"Approved for use in healthcare facilities, this Rada 215-T3 DK 1/2"" thermostatic mixing valve with Radatherm cartridge is safe, controllable and suitable for under-basin mounting.","Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Rada thermostatic mixer valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/NW-D61046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_215_T3_DK_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_215_222_Series_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_215_T3_DK_V2_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_215_T3_DK_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
11,P870117,Reliance Valves Easifit union 2 in 1 TMV 22mm,Reliance Valves,87.26,A Radiance Valves Easifit 2-in-1 22mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 2 in 1 TMV 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/17/NW-870116_870117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,PD61281,Bristan Sirrus mixing valve 22mm Chrome,Bristan,686.25,"A Bristan 22mm thermostatic TMV3 group blending valve with integral isolation valves, ideal for group applications at pressures down to 0.1 bar.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Bristan Sirrus mixing valve 22mm Chrome,,Mixing valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/81/NW-D61281_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_TS4753ECP_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TS4753ECP_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_TS4753ECP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
13,P870116,Reliance Valves Easifit union 2 in 1 TMV 15mm,Reliance Valves,73.35,A Radiance Valves Easifit 2-in-1 15mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 2 in 1 TMV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/17/NW-870116_870117_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,P171618,Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 15mm,Reliance Valves,98.7,"Made of nickel-plated DZR brass and with viton seals, this RWC Heatguard Dual 2-in-1 thermostatic mixing valve can supply 37LPM at 2.5 bar pressure loss. With a tamperproof cap that can act as a temperature adjustment tool, this three-port TMV has scale-resistant internal components and 15mm compression water inlets with flat faced union connections to comply with building regulations and D08.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/19/NW-171618_171619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/RWC_Heatguard_Dual_TMV_Tech_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_Dual_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/RWC_Heatguard_Dual_TMV_TMV2_3_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,
15,P411094,DVS 6v 6w dc asco valve latching 12.7mm,DVS,68.12,"Designed with a robust brass body, this DVS 6V DC latching valve has a NBR seal and 12.7mm orifice with compression fittings for 15mm pipe.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> DVS 6v 6w dc asco valve latching 12.7mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/94/NW-411094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/DVS_127mm_Valve_Cleaning_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,P171623,Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 15mm,Reliance Valves,117.8,"Offering versatile protection from the dangers of scalding, RWC Ausimix Compact 4-in-1 thermostatic mixing valve is made of DZR brass with a nickel-plated finish. This three-port valve offers viton seals, red/blue levers and 15mm flat face union connections. Telescopic connectors and SharkBite push-fit connections are also available.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/24/NW-171623_171624_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Ausimix_Compact_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/RWC_Ausimix_Compact_4in1_TMV_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Ausimix_TMV2_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
17,P419891,Altecnic flush and fill valve 28mm,Altecnic,150.0,"Suitable for domestic or small commercial heating systems, the Altecnic 28mm flush and fill valve combines two ball-type isolating valves and a single T-port diverting ball valve. This provides ease of filling and flushing with chemical cleaners or water treatment solutions.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Altecnic flush and fill valve 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/91/419891_wm.jpg,,,,,,Compression,28 mm,N,Compression,Brass,28mm,85,124-1502,Fill & Flush Valve,N,Used to fill and flush the system with cleaning chemicals or water treatment,For use with cleaning chemicals or water treatment,For maximum temperatures of 85째C,Works to minimum temperature of 2째C,Suitable for maximum pressure of 10 bar,Compression ends comply with BS EN 1252-2 for use with R250 (half hard) copper tube,,,,,
18,P870118,Reliance Valves Easifit union 4 in 1 TMV 15mm,Reliance Valves,99.25,A Radiance Valves Easifit 4-in-1 15mm TMV union.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Easifit union 4 in 1 TMV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/19/NW-870118_870119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
