,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Attachment 1,Attachment 2,Attachment 3,Range
0,PU78229,Chandley Ovens fuse 16a 10x38mm,Chandley Ovens,6.84,This Tom Chandley 16A fuse is suitable for deck ovens including Convecta and TC4 Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 16a 10x38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/29/NW-U78229_wm.jpg,N,x  x,OF0116,Fuse,N,,,,,,,
1,PU78250,Chandley Ovens holder for q/hal capsule,Chandley Ovens,13.65,"This Tom Chandley holder is designed for the q/hal capsule in a Bake Off deck, Convecta TC5 or TC10.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens holder for q/hal capsule,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/50/NW-U78250_wm.jpg,N,x  x,IH11,Holder,N,,,,,,,
2,PU78813,Chandley Ovens 3phase solid state relay 40A,Chandley Ovens,194.25,"A Tom Chandley three phase, 40A solid state relay.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens 3phase solid state relay 40A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/13/NW-U78813_wm.jpg,N,x  x,EC152,Solid State Relay,N,,,,,,,
3,PU78233,Chandley Ovens fuse 10a 10x38mm,Chandley Ovens,5.12,This Tom Chandley 10A fuse is suitable for deck and rack ovens including Convecta TC5 and TC10 and TC4 Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 10a 10x38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/33/NW-U78233_wm.jpg,N,x  x,OF0110,Fuse,N,,,,,,,
4,P408244,Bluebird tensioner wire holder,Bluebird,37.91,"This Bluebird wire tension spring is suitable for Eagle, Hawk, Kestrel or Merlin.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Bluebird tensioner wire holder,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/44/NW-408244_wm.jpg,N,x  x,4337 & 3083,Piston and Spring,N,,,,,,,
5,PU78741,Chandley Ovens gas spring,Chandley Ovens,188.75,A Tom Chandley gas spring for the Ecomatic and the EEK.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens gas spring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/41/NW-U78741_wm.jpg,N,x  x,MH1002,Gas Spring,N,,,,,,,
6,PU78257,Chandley Ovens fuse 10x38mm 32a,Chandley Ovens,7.84,This Tom Chandley 32A fuse is suitable for deck and rack ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 10x38mm 32a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/57/NW-U78257_wm.jpg,N,x  x,OF0132,Fuse,N,,,,,,,
7,PU78218,Chandley Ovens light glass support,Chandley Ovens,50.41,A Tom Chandley light glass support.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens light glass support,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/18/NW-U78218_wm.jpg,N,x  x,1500745,Light Glass Support,N,,,,,,,
8,PU78247,Chandley Ovens blower motor,Chandley Ovens,1150.8,A Tom Chandley blower motor for use in a rack oven.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens blower motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/47/NW-U78247_wm.jpg,N,x  x,B100108,Blower Motor,N,,,,,,,
9,P407556,Unifit oven lamp SES E14 25W 300C,Unifit,2.5,This Unifit SES lamp with E14 base offers a temperature of up to 300°C and is suitable for us in cookers and microwave ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Unifit oven lamp SES E14 25W 300C,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/56/NW-407556_wm.jpg,N,x  x,6760,Lamp,N,Cooker OvenMicrowave Oven,25W power,1000+ hours,,,,
10,PU78214,Chandley Ovens heating element 30x18mm,Chandley Ovens,89.81,"A Tom Chandley 30 x 18mm, 3.6kW heating element.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens heating element 30x18mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/14/NW-U78214_wm.jpg,N,x  x,A903026,Heating Element,N,,,,,,,
11,P402012,Activate Foodcare 1374 foodcare degreaser 400ml,Activate,17.12,"Perfume and chlorine-free, this 400ml Activate food care degreaser provides powerful food grade cleaning performance. Evaporating completely, this degreaser leaves no residue after cleaning and is suitable for safe use on electrical components.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Activate Foodcare 1374 foodcare degreaser 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/12/NW-402012_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Activate_402012_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Activate_Foodcare_Degreaser_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Activate_Foodcare_Degreaser_MSDS.pdf,
12,PU78689,Chandley Ovens steam element,Chandley Ovens,198.27,A Tom Chandley replacement steam element.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens steam element,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/89/NW-U78689_wm.jpg,N,x  x,240329 INCL PACK,Steam Element,N,,,,,,,
13,PU78242,Chandley Ovens cooling fan 240v,Chandley Ovens,241.19,This Tom Chandley 240V cooling fan is compatible with deck and rack ovens including the Convecta 10 and TC4 Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens cooling fan 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/42/NW-U78242_wm.jpg,N,x  x,EF101,Cooling Fan,N,,,,,,,
14,PU72417,Bluebird Lynx pad seal set,Bluebird,69.84,A Bluebird Lynx pad seal set.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Bluebird Lynx pad seal set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/17/NW-U72417_wm.jpg,N,x  x,P4212,Seal Set,N,,Commercial bakery oven part,,,,,Lynx
15,PU78706,Chandley Ovens door strike,Chandley Ovens,62.37,A Tom Chandley replacement door strike for the Convecta TC.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens door strike,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/06/NW-U78706_wm.jpg,N,x  x,A900148,Door Strike,N,,,,,,,
16,PU78685,Chandley Ovens guide tube assembly rack,Chandley Ovens,115.67,This Tom Chandley tube assembly is suitable for use in a rack oven.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens guide tube assembly rack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/85/U78685_wm.jpg,N,x  x,B104079,Tube Assembly,N,,Commercial bakery oven part,,,,,
17,PU78338,Chandley Ovens fuse 6a,Chandley Ovens,7.84,A Tom Chandley 6A fuse.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 6a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/38/NW-U78338_wm.jpg,N,x  x,OF0106,Fuse,N,,,,,,,
18,PU78318,Chandley Ovens rack oven door sweeper,Chandley Ovens,41.83,A Tom Chandley door sweeper for use in a rack oven.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens rack oven door sweeper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/18/NW-U78318_wm.jpg,N,x  x,B102016,Door Sweeper,N,,,,,,,
19,PU78398,Chandley Ovens element single coil,Chandley Ovens,74.29,"A Tom Chandley 60 x 40mm, 1.35kW element.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens element single coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/98/NW-U78398_wm.jpg,N,x  x,A903002,Single Coil Element,N,,,,,,,
20,PU78237,Chandley Ovens fuse 2a 10x38mm,Chandley Ovens,5.12,This Tom Chandley 2A fuse is suitable for deck and rack ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 2a 10x38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/37/NW-U78237_wm.jpg,N,x  x,OF0102,Fuse,N,,,,,,,
21,PU78223,Chandley Ovens i3 controller,Chandley Ovens,1778.19,This Tom Chandley Imo i3 controller is for use on the Convecta TC Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens i3 controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/23/NW-U78223_wm.jpg,N,x  x,EM171,Controller,N,,,,,,,
22,PU78849,Chandley Ovens damper motor,Chandley Ovens,212.16,A Tom Chandley replacement damper motor.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens damper motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/49/U78849_wm.jpg,N,20 x 10 x 16 mm,700415S,Damper Motor,N,,Commercial bakery oven part,,,,,
23,PU73784,Mono on/off switch Green,Mono,16.08,A Mono green switch.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Mono on/off switch Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/84/NW-U73784_wm.jpg,N,x  x,B836-07-009,Switch,N,,,,,,,
24,PU78631,Chandley Ovens keyhole support pin,Chandley Ovens,18.9,A Tom Chandley replacement keyhole support pin.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens keyhole support pin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/31/NW-U78631_wm.jpg,N,x  x,A900011,Keyhole Support Pin,N,,,,,,,
25,PU78222,Chandley Ovens heating element 30x18inch,Chandley Ovens,59.93,A Tom Chandley 30 x 18mm heating element with 1.8kW capacity.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens heating element 30x18inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/22/NW-U78222_wm.jpg,N,x  x,A903004,Heating Element,N,,,,,,,
26,PV16674,Mono heat resistant bulb,Mono,10.93,"This Mono 25W bulb with G9 fitting can withstand high temperatures of 300°C, making it ideal for use in a BX oven.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Mono heat resistant bulb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/74/NW-V16674_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Monoequip_Spares_Manual.pdf,,,
27,PU78300,Chandley Ovens fuse 10x38mm 20a,Chandley Ovens,4.86,This Tom Chandley 20A fuse is suitable for deck and rack ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 10x38mm 20a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/00/NW-U78300_wm.jpg,N,x  x,OF0120,Fuse,N,,,,,,,
28,PU78634,Chandley Ovens door handle,Chandley Ovens,419.35,A Tom Chandley replacement door handle.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens door handle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/34/NW-U78634_wm.jpg,N,x  x,B102094,Door Handle,N,,,,,,,
29,PU78220,Chandley Ovens contactor 240v,Chandley Ovens,135.78,"A Tom Chandley K2 240V three pole auxiliary contactor for deck ovens including Lynx, Panther Sealer and Convecta TC5 and TC10.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens contactor 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/20/NW-U78220_wm.jpg,N,x  x,EC105,Contactor,N,,,,,,,
30,PU78319,Chandley Ovens door seal per oven 17ft,Chandley Ovens,164.64,This Tom Chandley replacement door seal for rack ovens measures 5181mm length.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens door seal per oven 17ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/19/NW-U78319_wm.jpg,N,x  x,B102031,Door Seal,N,,,,,,,
31,PU78437,Chandley Ovens bag blower on/off switch,Chandley Ovens,193.65,This Tom Chandley on/off bag blower switch is compatible with the Ecomatic and EEK ranges.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens bag blower on/off switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/37/NW-U78437_wm.jpg,N,x  x,ES420,Bag Blower Switch,N,,,,,,,
32,PU78764,Chandley Ovens control deck,Chandley Ovens,2887.5,This Tom Chandley 1.92 control deck is compatible with the V750 controller and Display Unitronics OPLC (new version).,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens control deck,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/64/NW-U78764_wm.jpg,N,x  x,EM178-001,Control Deck,N,,,,,,,
33,PU78284,Chandley Ovens evaporator assembly,Chandley Ovens,368.28,A Tom Chandley replacement evaporator assembly.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens evaporator assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/84/NW-U78284_wm.jpg,N,40 x 12 x 28.5 mm,911767,Evaporator Assembly,N,,,,,,,
34,PU78447,Chandley Ovens pressure relief valve 1/2inch bsp,Chandley Ovens,104.93,"This Tom Chandley 1/2"" BSP pressure relief valve is compatible with convection, rack and deck ovens.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens pressure relief valve 1/2inch bsp,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/47/NW-U78447_wm.jpg,N,x  x,PV0053,Pressure Relief Valve,N,,,,,,,
35,PU78781,Chandley Ovens door seal,Chandley Ovens,248.1,A Tom Chandley replacement Convecta TC5 door seal.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens door seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/81/NW-U78781_wm.jpg,N,x  x,A901029,Door Seal,N,,,,,,,Convecta
36,PU78660,Chandley Ovens stuf 6mm,Chandley Ovens,6.27,A Tom Chandley 6mm replacement stud.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens stuf 6mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/60/NW-U78660_wm.jpg,N,x  x,FM0041,Stud,N,,,,,,,
37,PU78760,Chandley Ovens touch screen,Chandley Ovens,1567.5,This Tom Chandley TC4 V1.92 touchscreen is compatible with the V350 controller and the Display Unitronics OPLC V1.92 (new version).,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens touch screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/60/NW-U78760_wm.jpg,N,x  x,EM176-001 V1.92,Touchscreen,N,,,,,,,
38,P402009,Activate Foodcare foodcare penetrating oil 400ml,Activate,17.12,"Formulated specifically for use on food production machinery, this 400ml Activate food care penetrating oil is a clear, non-staining food grade lubricant. Used in a wide range of applications, this 100% synthetic penetrating oil quickly creates a film coating on cylinders, slideways and linear bearings.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Activate Foodcare foodcare penetrating oil 400ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/09/NW-402009_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Activate_Penetrating_Oil_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Activate_402009_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Activate_Penetrating_Oil_MSDS.pdf,
39,PU73776,Mono thermocouple (type-k),Mono,44.08,A Mono 176.5 x 190 x 27.9mm type K thermocouple.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Mono thermocouple (type-k),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/76/NW-U73776_wm.jpg,N,x  x,B873-95-006,Thermocouple,N,,,,,,,
40,PU72613,Mono heater element 3kw,Mono,73.37,A Mono 3kW heater element for MX ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Mono heater element 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/13/NW-U72613_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Monoequip_MXN_Spares_Manual.pdf,,,
