,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Outer Diameter,Diameter,Length (M),Weight,Type
0,P508500,Yorkshire Yorkex copper tube 15mm x 3mtr Chrome,Yorkshire,7.83,"Designed for ground services, this Yorkshire Yorkex 15mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.7mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 15mm x 3mtr Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/00/508500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,P508201,Yorkshire Yorkex copper tube 22mm x 3mtr,Yorkshire,7.35,"Designed for ground services, this Yorkshire Yorkex 22mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.9mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 22mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/01/508201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P508200,Yorkshire Yorkex copper tube 15mm x 3mtr,Yorkshire,3.68,"Designed for ground services, this Yorkshire Yorkex 15mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.7mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 15mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/00/508200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P508202,Yorkshire Yorkex copper tube 28mm x 3mtr,Yorkshire,9.27,"Designed for ground services, this Yorkshire Yorkex 28mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 0.9mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 28mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-508200_508205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
4,PV18301,Lawton Tube TX copper tube (Table-X) (EN1057) 22mm x 3m,Lawton Tube,7.16,"This Lawton TX 22mm tube is a reliable alternative to traditional 1.2mm thick EN 1057 tube. Supplied in a 3M length, this 0.9mm thick copper pipe saves on costs without compromising on performance.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube TX copper tube (Table-X) (EN1057) 22mm x 3m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/02/NW-V18300_V18302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Copper_Tube_Mech_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Lawton_Tube_CopperTube_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lawton_Tube_Copper_Tube_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Water_Capacity_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
5,PV18300,Lawton Tube TX copper tube (Table-X) (EN1057) 15mm x 3m,Lawton Tube,2.89,"This Lawton TX 15mm tube is a reliable alternative to traditional 1.2mm thick EN 1057 tube. Supplied in a 3M length, this 0.7mm thick copper pipe saves on costs without compromising on performance.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube TX copper tube (Table-X) (EN1057) 15mm x 3m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/02/NW-V18300_V18302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Copper_Tube_Mech_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Lawton_Tube_CopperTube_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Water_Capacity_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lawton_Tube_Copper_Tube_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
6,P508203,Yorkshire Yorkex copper tube 35mm x 3mtr,Yorkshire,20.55,"Designed for ground services, this Yorkshire Yorkex 35mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 1.2mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 35mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-508200_508205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PV18302,Lawton Tube TX copper tube (Table-X) (EN1057) 28mm x 3m,Lawton Tube,9.12,"This Lawton TX 28mm tube is a reliable alternative to traditional 1.2mm thick EN 1057 tube. Supplied in a 3M length, this 0.9mm thick copper pipe saves on costs without compromising on performance.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Lawton Tube TX copper tube (Table-X) (EN1057) 28mm x 3m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/02/NW-V18300_V18302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Copper_Tube_Mech_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Lawton_Tube_CopperTube_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Lawton_Tube_Water_Capacity_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lawton_Tube_Copper_Tube_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Lawton_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
8,P508205,Yorkshire Yorkex copper tube 54mm x 3mtr,Yorkshire,32.31,"Designed for ground services, this Yorkshire Yorkex 54mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 1.2mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 54mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-508200_508205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,P508204,Yorkshire Yorkex copper tube 42mm x 3mtr,Yorkshire,24.31,"Designed for ground services, this Yorkshire Yorkex 42mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 1.2mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 42mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/05/NW-508200_508205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_CopperTube_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
10,P508414,Yorkshire Yorkex PVC coated copper tube 22mm x 3mtr Yellow,Yorkshire,43.46,"Environmentally-friendly, this Yorkshire Yorkex 22mm tube is made of fully recyclable 0.9mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 22mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/14/NW-508413_508414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,P508413,Yorkshire Yorkex PVC coated copper tube 15mm x 3mtr Yellow,Yorkshire,22.44,"Environmentally-friendly, this Yorkshire Yorkex 15mm tube is made of fully recyclable 0.7mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 15mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/14/NW-508413_508414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
12,P508503,Yorkshire Yorkex copper tube 35mm x 3mtr Chrome,Yorkshire,95.12,"Designed for ground services, this Yorkshire Yorkex 35mm tube offers easy manipulation in half-hard condition and a comparatively light weight. Able to withstand high internal pressures, this 1.2mm thick copper tubing is suitable for use in most hot and cold water, central heating and gas installations. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex copper tube 35mm x 3mtr Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/05/NW-508501_508505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
13,P508459,Yorkshire Yorkex PVC coated copper tube 28mm x 3mtr Yellow,Yorkshire,56.3,"Environmentally-friendly, this Yorkshire Yorkex 28mm tube is made of fully recyclable 0.9mm copper and PVC. Highly durable, this tube is resistant to heat, corrosion, pressure and fire, making it suitable for almost any plumbing, heating or gas installation. It is supplied in a 3M length.","Pipe, Valves and Fittings/Metal Pipe/Copper Pipe/Copper Pipe.csv -> Yorkshire Yorkex PVC coated copper tube 28mm x 3mtr Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/59/NW-508459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Yorkshire_Tube_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Yorkshire_Kuterlex_Tube_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Yorkshire_Kuterlex_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
