,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Connection Type,Diameter,Pack Quantity,Connection Type 1,Connection Type 2,Type,Attachment 3,Attachment 4
0,P236564,Center CXC lever ball valve 15mm,Center,4.91,"Suitable for use in hot or cold water systems, this Center CB CXC 15mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center CXC lever ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/64/236564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,
1,P236547,Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk,Center,3.19,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 1/2"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/47/236547_wm.jpg,,,N,CMFTCW-15D300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
2,P236561,Center CXC lever ball valve 22mm,Center,7.49,"Suitable for use in hot or cold water systems, this Center CB CXC 22mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center CXC lever ball valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/61/236561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,
3,P236542,Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk,Center,6.99,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15mm x 1/2"" flexible tap connectors with isolation valves can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/42/236542_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236541 236542 236544 Data Sheet.pdf,,,,,,,,,,,,,,,,,,
4,P236549,Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk,Center,7.49,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 22mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/236549_wm.jpg,,,N,CMFTCW-22E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
5,P236567,"Center Chrome Straight Service Valve 15mm x 1/2""",Center,2.26,"Suitable for use in hot and cold water systems, this Center 15mm x 1/2"" straight service valve in chrome isolates part of a water system, reducing the need for complete drainage.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Chrome Straight Service Valve 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/67/236567_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v2/236567 Data Sheet v2.pdf,,,,,,,,,,,,,,,,,,
6,P236562,Center Brass Gate Valve with Red Wheel Handle 22mm,Center,6.25,"Suitable for use in hot or cold water systems, this Center 22mm gate valve is wheelhead-operated. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Brass Gate Valve with Red Wheel Handle 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/62/236562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/62/236562.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236563 Gate Valve v1.pdf,,,,,,,,,,,,,,,,,
7,P236545,Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk,Center,4.81,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/45/236545_wm.jpg,,,N,CMFTCW-15E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
8,P236593,Center Chrome Plated Hot & Cold Washing Machine Tap 15mm,Center,2.14,"Chrome-plated, this Center 15mm hot and cold washing machine tap is supplied with colour-coded handles.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Chrome Plated Hot & Cold Washing Machine Tap 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/93/236593_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/p_/v1/236593 HC Washing Machine Tap v1.pdf,,,,,,,,,,,,,,,,,,
9,P236563,Center Brass Gate Valve with Red Wheel Handle 15mm,Center,3.65,"Suitable for use in hot or cold water systems, this Center 15mm gate valve is wheelhead-operated. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Brass Gate Valve with Red Wheel Handle 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/63/236563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/62/236562.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236563 Gate Valve v1.pdf,,,,,,,,,,,,,,,,,
10,P236550,Center WRAS M10 mono flexible tap connectors 15 2pk,Center,3.43,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15 x 10mm flexible mono tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS M10 mono flexible tap connectors 15 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/50/NW_236550_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/236550_CMFTCW-1510300 correct drawing.pdf,,,,,,,,,,,,,,,,,,
11,P236548,Center WRAS M12 mono flexible tap connectors 15mm 2 pk,Center,5.25,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15 x 12mm flexible mono tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS M12 mono flexible tap connectors 15mm 2 pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/48/NW_236548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/236548_CMFTCW-1512300 correct drawing.pdf,,,,,,,,,,,,,,,,,,
12,P236551,Center WRAS 50 cm flexible tap connectors 15x 1/2 2pk,Center,5.49,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 500mm long Center 15mm x 1/2"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 50 cm flexible tap connectors 15x 1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/51/236551_wm.jpg,,,N,CMFTCW-15D500,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
13,PC54404,"Center CB isolation flexible tap connectors 15mm x 1/2"" (Pack of 2)",Center CB,6.99,"Made of brass with a neat metallic finish, this Center CB 15mm x 1/2"" isolation flexible tap connector offers compression connections.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center CB isolation flexible tap connectors 15mm x 1/2"" (Pack of 2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/06/NW-C54404_C54406_wm.jpg,,,N,CB28615,N,Stainless steel braided hoses,EPDM line2,Compression ends in accordance with EN 1254/2,12 month warranty,,15 mm x 1/2 inch,Compression,15 mm x 1/2,Pack of 2,Threaded,Threaded,Connector,,
14,P236581,"Center Brass Y Piece for Washing Machines & Dishwasher 3/4""",Center,4.8,"Suitable for use in washing machines or dishwashers, this Center 3/4"" Y-piece is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Brass Y Piece for Washing Machines & Dishwasher 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/81/236581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236581 Brass Y Piece Data Sheet.pdf,,,,,,,,,,,,,,,,,,
15,P236585,Center Washing Machine Hose Washer Pack of 5,Center,1.47,These Center hose washers are designed for use on washing machine hoses.,"Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Washing Machine Hose Washer Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/85/236585_wm.jpg,,,N,PPWSWM-E/05W,N,Pack of 5,EPDM construction,Maximum temperature 85°C,For washing machines,,,,,,,,,,
16,P236541,Center WRAS ISO flexible tap connectors 15 x 3/4 2pk,Center,9.36,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15mm x 3/4"" flexible tap connectors with isolation valves can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS ISO flexible tap connectors 15 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/41/236541_wm.jpg,,,N,CMFTCWIV-15E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
17,P236590,Center Washing Machine Hose Connector 17mm,Center,1.86,These Center 17mm washing machine hose connectors are used to connect two hose outlets.,"Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Washing Machine Hose Connector 17mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/90/236590_wm.jpg,,,N,PPOUW,N,Plastic construction,Maximum temprature 85°C,,,,,,,,,,,,
18,P236543,Center WRAS 30 cm flexible tap connectors 15 x 15 2pk,Center,6.94,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15 x 15mm flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 15 x 15 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/43/236543_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236543 WRAS Flexible Data Sheet.pdf,,,,,,,,,,,,,,,,,,
19,P236568,"Center Chrome Angled Service Valve 15mm x 1/2""",Center,2.33,"Suitable for use in hot and cold water systems, this Center 15mm x 1/2"" angled service valve in chrome isolates part of a water system, reducing the need for complete drainage.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Chrome Angled Service Valve 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/68/236568_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v2/236568 Data Sheet v2.pdf,,,,,,,,,,,,,,,,,,
20,P236572,"Center Fibre Flexible Tap Connector Washer 3/4"" Pack of 50",Center,15.96,"These Center 3/4"" fibre washers in green and black are for use with flexible tap connectors.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Fibre Flexible Tap Connector Washer 3/4"" Pack of 50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/72/236572_wm.jpg,,,N,PPWSFTC-E/50W,N,Pack of 50,Fibre construction,Green and black colour,For flexible tap connectors,,,,,,,,,,
21,P236546,"Center WRAS Pushfit Flexible Tap Connecter 30cm in length 15mm x 3/4"" Pack of 2",Center,11.01,"Suitable for use in hot and cold water systems, these Center 15mm x 3/4"" push-fit flexible tap connectors measure 300mm in length.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS Pushfit Flexible Tap Connecter 30cm in length 15mm x 3/4"" Pack of 2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/46/236546_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236546 WRAS Pushfit Data Sheet.pdf,,,,,,,,,,,,,,,,,,
22,P236544,Center WRAS ISO flexible tap connectors 22x3/4 2pk,Center,14.94,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 22mm x 3/4"" flexible tap connectors with isolation valves can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS ISO flexible tap connectors 22x3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/44/236544_wm.jpg,,,N,CMFTCWIV-22E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
23,P236575,"Center Fibre Flexible Tap Connector Washer 3/4"" Pack of 5",Center,2.1,"These Center 3/4"" fibre washers in green and black are for use with flexible tap connectors.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Fibre Flexible Tap Connector Washer 3/4"" Pack of 5",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/75/236575_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236572 236575 236576 236584 Data Sheet.pdf,,,,,,,,,,,,,,,,,,
24,P236576,"Center Fibre Flexible Tap Connector Washer 1/2"" Pack of 50",Center,11.85,"These Center 1/2"" fibre washers in green and black are for use with flexible tap connectors.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Fibre Flexible Tap Connector Washer 1/2"" Pack of 50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/76/236576_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236584 Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/72/236572.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/75/236575.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/76/236576.pdf
