,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Warranty,Weight,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Depth (mm),Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4
0,PD77422,Bristan Cobalt dual control shower pack,Bristan,410.76,"Uniquely designed for boldly modern bathrooms, the Bristan Cobalt shower pack with fixed head and wall outlet handset incorporates square shapes for a clean, eye-catching look. Built for easy fitting in UK homes, the Cobalt requires a wall cavity depth of just 35mm making it a perfect choice for smaller bathrooms and challenging installation jobs.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan Cobalt dual control shower pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/D77422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Cobalt_COB_SHCDIV_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Cobalt_C_WOSQ02_C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Cobalt_COBALT_SHWR_PK_Tech.pdf,,,,,,,,,,,,,,,,
1,PD63833,Ideal Standard thermostatic mixing valve 15mm Chrome Plated,Ideal Standard,109.91,"This 15mm Ideal Standard thermostatic mixing valve supplied pre-mixed water at a set temperature to a basin, bidet, bath or shower. It is designed for installation under a basin or bidet, immediately below the hot water inlet.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Ideal Standard thermostatic mixing valve 15mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5900_Technical.pdf,,,,,,,,,,,,,,,,,,
2,PD63834,Ideal Standard thermostatic mixing valve 22mm Chrome Plated,Ideal Standard,138.81,"This Ideal Standard 22mm thermostatic mixing valve supplies pre-mixed water at a set temperature. Designed to be installed under a basin, bidet or bath, immediately below the hot water inlet, the mixer should be commissioned to temperature during installation.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Ideal Standard thermostatic mixing valve 22mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/34/NW-D63833_D63834_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_A5901_Technical.pdf,,,,,,,,,,,,,,,,,,
3,PC43144,"Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",Deva,21.32,"A pair of Deva 1/2"" ceramic disc valves for hot and cold taps.","Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Deva Spares-tapware ceramic disc valves 1/2"" (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/44/NW-C43144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_CDV001_Technical.pdf,,,,,,,,,,,,,,,,,
4,PQ97158,Hansgrohe Ecomax selector,Hansgrohe,61.36,A Hansgrohe Ecomax selector.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Hansgrohe Ecomax selector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/58/NW-Q97158_wm.jpg,,,,Black,Ecomax,5 Years,0.1Kg,N,97164000,Selector,N,5 year warranty,,,,,,,
5,P170763,Fluidmaster SHOWER TRAPS hi flow shower trap 90mm Chrome,Fluidmaster,9.92,"This Fluidmaster 90mm top access shower trap incorporates a chrome waste covertrap body, washer and compression nut.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Fluidmaster SHOWER TRAPS hi flow shower trap 90mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/63/NW-170763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Fluidmaster_UK_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,
6,PA05445,Nabis Regal diverter,Nabis,7.75,This Nabis Regal diverter head is specifically designed for use on the A05403 deck-mounted bath/shower mixer.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Nabis Regal diverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/45/A05445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,,
7,PA05459,Nabis Regal spare diverter for A05412,Nabis,3.46,This Nabis Regal diverter is suitable for the A05412 bath/shower mixer.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Nabis Regal spare diverter for A05412,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/59/A05459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,,
8,PE98766,VADO TE W/M EXPOSED THERMOSTATC SHWR VLV,Vado,355.0,"Designed for wall mounting, the Vado TE exposed thermostatic single outlet shower valve is fitted with 3/4"" x 1/2"" x 50mm male eccentric connections and has a high-shine polished chrome finish.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> VADO TE W/M EXPOSED THERMOSTATC SHWR VLV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/66/E98766_wm.jpg,,,,Chrome,TE,15 Years,,N,TE-149T-C/P,Shower Valve,N,With 2x handles,140,Single outlet,For wall mounted installation,"Suitable for gravity, pumped, combi and pressurised systems",Chrome finish,15 year warranty,
9,PE95824,Vado exposed shower valve and central outlet and flow regulator 6l/pm Chrome Plated,Vado,215.01,"Finished in a smart, high-shine chrome, the Vado exposed shower valve and central outlet will suit most bathroom schemes. This thermostatic shower valve is fitted with a 6LPM flow regulator, ensuring comfortable delivery coupled with water economy.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Vado exposed shower valve and central outlet and flow regulator 6l/pm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/24/E95824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vado_Brochure.pdf,,,,,,,,,,,,,,,,,,
10,PD80246,Bristan Opac valve only Chrome,Bristan,561.08,The Bristan Opac exposed thermostatic Cool Touch bar shower valve is supplied with self-isolating wall mount 12 fixing kit and an integral flushing mechanism for hands-off cleaning.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan Opac valve only Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/46/NW-D80246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D80246_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_SHXVO_EL_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_OP_SHXVO_EL_Spares.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf
11,PD62493,Mira Element element valve only excluding shower kit,Mira,204.18,"Simple and unfussy, the slimline Mira Element SLT exposed shower valve is an ideal addition to a contemporary family bathroom. Easy to use, with both thermostatic temperature and flow control on one intuitive dial, the Element incorporates a range of powerful features, from safe thermostatic control to Magni-flo for triple the power, even in low pressure systems.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Mira Element element valve only excluding shower kit,,Exposed valve;Shower unit;Component pack;2x compression nuts;2x concealing plates;Installation ;user guide;TMV2 requirements manual;Installation template;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/93/NW-D62493_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Element_EV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_1327879_W2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Element_EV_Drw_Technical.pdf,,,,,,,,,,,,,,,,
12,PC69088,Bristan Carre thermostatic bar valve with fixed rail,Bristan,333.4,"Designed to blend seamlessly into any bathroom design, the Bristan Carre thermostatic bar shower with rigid riser has sleek chrome shower heads and uniquely tactile handles. Supplied with wall mount 12 fixing kit for easy installation using built in front-of-wall isolation valves the Carre is a safe option for family bathrooms, providing thermostatic control with pre-set limits.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan Carre thermostatic bar valve with fixed rail,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/88/NW-C69088_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Carre_CR_SHXDIVFF_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_CRSHXDIVFFC_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Carre_CR_SHXDIVFF_C_Tech.pdf,,,,,,,,,,,,,,,,
13,PD80271,Bristan Commercial thermostatic exposed mini shower valve,Bristan,433.82,"Ideal for use in commercial premises, the Bristan OPAC thermostatic TMV3 mini shower valve is supplied with a rigid riser kit and static showerhead for ease of specification with no need to shop around. Simple to install, this smart chrome shower with sequential lever control has adjustable inlet elbows allowing for effortless retrofitting into an existing bathroom.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan Commercial thermostatic exposed mini shower valve,,1 x Shower Valve;1 x Wall Bracket;1 x Fixed Head;2 x Elbows;2 x Wall Plates,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/71/NW-D80271_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Shower_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D80271_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D80271_Technical.pdf,,,,,,,,,,,,,,,,
14,PD66777,Mira Advance spare flow valve assembly,Mira,85.7,This Mira replacement flow valve assembly is compatible with all Mira Advance models.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Mira Advance spare flow valve assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/77/NW-D66777_wm.jpg,,,,White,Advance,1 year,,N,4.1643.149,Flow Valve Assembly,N,For use with Mira Advance electric showers,N/A,1 year warranty,,,,,
15,PD60430,Mira Sprint outlet double check valve Chrome Plated,Mira,57.57,"The Mira DCV-H keeps water from travelling back up the shower hose and into the water system if the showerhead is submerged, ensuring that waste water doesn't contaminate the system.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Mira Sprint outlet double check valve Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/30/NW-D60430_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Outlet_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,
16,PE98627,Vado Protherm inline thermostatic valve TMV3,Vado,150.0,This Vado Protherm chrome inline thermostatic valve offers a 31LPM flow rate at 3 bar pressure.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Vado Protherm inline thermostatic valve TMV3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/27/NW-E98627_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Vado_Export_Consumer_Guide_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/E98627_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/E98627_Technical.pdf,,,,,,,,,,,,,,,,
17,PQ97336,Hansgrohe 701 OEM-VHG shut-off unit handle Chrome,Hansgrohe,49.99,A Hansgrohe replacement chrome finish shut-off unit handle.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Hansgrohe 701 OEM-VHG shut-off unit handle Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/36/Q97336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Shower_Set_Installation.pdf,,,,,,,,,,,,,,,,,,
18,PE95816,VAD CELS EXPD THRM SHWRMXR 1/2IN W.9LT CH,Vado,320.01,"The Vado Celsius exposed thermostatic single outlet shower mixer valve is fitted with 3/4"" x 1/2"" x 50mm male eccentric connections and has a high-shine polished chrome finish.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> VAD CELS EXPD THRM SHWRMXR 1/2IN W.9LT CH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/16/E95816_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vado_Brochure.pdf,,,,,,,,,,,,,,,,,,
19,PA05464,* NAB SPARE DIVERTER 1011,Nabis,5.58,This Nabis Regal diverter is suitable for A05419 and A05416 bath/shower mixers.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> * NAB SPARE DIVERTER 1011,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/64/A05464_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,,,,,
20,PD04453,Mira bar valve exposed pipework elbows,Mira,44.22,"These Mira bar valve exposed pipework installation elbows are suitable for installing any bar valve with exposed pipework and are designed to fit all Mira bar valves. Easy to install, these elbows have a chrome finish to blend seamlessly in to existing fittings.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Mira bar valve exposed pipework elbows,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/53/NW-D04453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Bar_Valve_Fixing_Kit_Install.pdf,,,,,,,,,,,,,,,,,,
21,PD76601,Bristan CRAZE Mixer Shower - Bar Mixers Black,Bristan,355.48,"Softly angular, the Bristan Craze mixer bar shower in sleek black is supplied with a large fixed head as well as a single function handset with rub-clean nozzles for ease of maintenance. An ideal family shower set, the Craze offers adjustable head height on its telescopic riser rail and safety features for peace of mind when showering little ones. Easy to install and service, the Craze is designed with Bristan's own Wallmount 12 with inbuilt isolation.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Bristan CRAZE Mixer Shower - Bar Mixers Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/98/597898_wm.jpg,,,,Black,CRAZE,5,,N,CRZ SHXDIVCTFF BLK,Mixer Shower - Bar Mixers,N,"You really can count on Bristan showers as they are designed, engineered and tested to last with our easy fit installation and family safe features plus a modern black finish, all under a 5 Year guarantee for peace of mind",,A black finish that will make a statement in any bathroom,"Supplied with our wallmount 12 fixing kit. The simplest solution for installing, maintaining and replacing bar mixer showers, using built in front-of-wall isolation valves and 15mm inlet connections",Dual control - Flow and temperature are controlled separately giving accurate control of both,Thermostatic cartridge with preset temperature stop at 38°C to eliminate the ability to select an unsafe temperature and can be adjusted up to a maximum of 43°C.,,
22,PC98001,Ideal Standard exposed push button shower valve Chrome,Ideal Standard,204.18,"Self-closing and offering a single set temperature, the Ideal Standard Avon exposed shower valve offers anti-vandal push-button operation. Helping to save water, this valve incorporates an adjustable time delay, automatically shutting off with a non-concussive action to reduce the issue of water hammer. The Avon valve should be supplied with pre-mixed water using a thermostatic blending valve.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Ideal Standard exposed push button shower valve Chrome,,Shower valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/01/NW-C98001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Blue_Book_Showers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C98001_Technical.pdf,,,,,,,,,,,,,,,,,
23,PC98129,Armitage Shanks Contour 21+ exposed thermostatic shower mixer,Armitage Shanks,312.56,"The Armitage Shanks Contour 21+ shower valve is specifically designed for use where a regular thermal cleanse is required to prevent bacterial growth. Suitable for use with an Armaglide kit, this shower valve features easy-use paddle handles, a smart chrome finish and provides easy installation.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Armitage Shanks Contour 21+ exposed thermostatic shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/29/NW-C98129_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Armitage_Shanks_A6876_Contour21_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Playa_Brochure.pdf,,,,,,,,,,,,,,,,,
24,PD61774,Mira Nectar slide bar White/Chrome Plated,Mira,50.11,"Easy to install, the Mira Nectar white and chrome slide bar adjusts for fitting to existing screw holes with variable fixing points.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Mira Nectar slide bar White/Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/74/NW-D61774_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,,,,,,,,,,,,,,,,,,
25,PC51073,CONC FAST FIX OUTLET HOSE CONNECTOR   CP,Bristan,82.48,A Bristan Fast Fix wall outlet finished in chrome.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> CONC FAST FIX OUTLET HOSE CONNECTOR   CP,,Wall fixing kit;Wall plate;Rubber O-ring;Copper olive;Compression nut;Outlet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/73/NW-C51073_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Bristan_WO1C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_WO1C_Technical.pdf,,,,,,,,,,,,,,,,,
26,PE95873,Vado Sirkel exposed thermostatic shower valve,Vado,155.0,"A Vado Sirkel chrome shower valve with H-202-RTC flow cartridge, shrouds, offset connectors and accessory box 1.",Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Vado Sirkel exposed thermostatic shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/73/NW-E95873_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/E95873_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/E95873_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/E95873_Drawing.pdf,,,,,,,,,,,,,,,,
27,PC68087,Deva Lace manual shower valve and kit,Deva,116.91,The Deva Lace shower valve includes a looped lever handle for effortless flow and temperature adjustment and optional exposed or concealed valves both included.,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Deva Lace manual shower valve and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/87/NW-C68087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_1553086181693_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Methven_Shower-Tap_Guide_2020.pdf,,,,,,,,,,,,,,,,,
28,PA05067,Nabis On/Off control handle assembly A05033,Nabis,1.41,This Nabis replacement on/off control handle assembly for A05033 is finished in brass,Showering/Shower Parts and Accessories/Shower Valves/Shower Valves.csv -> Nabis On/Off control handle assembly A05033,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/67/A05067_wm.jpg,,,,Chrome,,n/a,,N,WUK136,Handle Assembly,N,Compatible with A05033,,Chrome finish,,,,,
