,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Pack Type,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Diameter,Pack Quantity,Colour,Depth (mm),Back Box Type,Material,Number of Gangs,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Amps,Voltage (V),Ways,Application,Size,Dimensions (L x W x D)
24,PM10000,Doncaster CY cy 1.5 2core scrnd 50mtr rl per reel Grey,Doncaster,85.84,"Supplied in a 50M reel, this Doncaster CY 8.1mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Because the cable's shielding reduces electromagnetic interference, it is especially suited to data transmission tasks. Well protected, CY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster CY cy 1.5 2core scrnd 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/NW-M09999_M10000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_CY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PM93042,Trench medium duty cable tray 300mm x 3m,Trench,51.44,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray 300mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/42/NW-M93042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PM93032,Trench medium duty cable tray 225mm x 3m,Trench,39.73,Medium Duty Pre Galvanised Cable Tray,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Trench medium duty cable tray 225mm x 3m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/32/NW-M93032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Trench_Pre_Galv_Cable_Tray_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/Trench_Wall_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P617082,Specialised Wiring ALT cable gland 10-14mm Black (1),Specialised Wiring,0.36,This Specialised Wiring ALT 20mm diameter insulated cable gland is made using polyamide for resistance to a wide variety of substances.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring ALT cable gland 10-14mm Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/617082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SWA_Accessories_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P408644,F4P polyethylene strip connector 15A (1),F4P,1.85,A F4P 15A polythene strip connector.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> F4P polyethylene strip connector 15A (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/44/NW-408644_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/408644_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P408730,Omegaflex OMEGA OM147P 1 gang deep plastic pattress box 45mm,Omegaflex,2.77,"Made of urea, these Omega OM147P 86 x 86mm deep pattress switch boxes include knock-outs on all sides and in the base. They are suitable for most one gang sockets and connection units.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Omegaflex OMEGA OM147P 1 gang deep plastic pattress box 45mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/30/NW-408730_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Omega_OM147P_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P408749,CEF Omega 1 gang blank plate,CEF,0.99,"Supplied with screws, this CEF blank plate is made of urea and is suitable for wall mounting.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> CEF Omega 1 gang blank plate,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/49/NW-408749_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CEF_RPP_OM1BP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P408762,Tamlex Metal Flush Knockout Boxes T1G25 1 gang deep metal KO pattress box 25mm,Tamlex,0.81,"Made of pre-galvanised steel, these Tamlex T1G25 knockout boxes are supplied with dual fixed lugs.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Tamlex Metal Flush Knockout Boxes T1G25 1 gang deep metal KO pattress box 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/62/NW-408762_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tamlex_Steel_Boxes_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P408667,CEF Omega switched connection unit 13a,CEF,6.49,"This 230V, 13A CEF Omega switched fused connection unit is made of urea and has a square edged face plate. It offers a frequency of 50/60Hz.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> CEF Omega switched connection unit 13a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/67/NW-408667_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CEF_RPP_OM13SSU_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P408679,CEF Earth Clamp (1),CEF,2.53,"Suitable for use in humid or wet corrosive atmospheres, this CEF blue earth clamp is made of zinc-treated copper with phosphor bronze.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> CEF Earth Clamp (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/79/NW-408679_wm.jpg,,,,N,,,,,,,,,,,,,,,,,0611-1751,Earth Clamp,N,Use in Corrsoive and Humid/Wet atmospheres,,1,Blue / Silver,,,Zinc treated copper and phosphor bronze,,Manufactured to BS 951:2009,Suitable for pipe diameters 12-32mm,Zinc treated copper and phosphor bronze,,,,,,,,,,,,,,,,,,,,,136 x 1 x 13mm
34,PM10986,Schneider Electric Thorsman open PVC cable grommet 20mm,Schneider Electric,0.06,"These Schneider Electric Thorsman 20mm diameter open cable grommets prevent chafing of cables fed through trunking and electrical boxes, ensuring longer, hazard-free use.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Schneider Electric Thorsman open PVC cable grommet 20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/86/NW-M10986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SE_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SE_3280210_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P439214,Regin Bits'n'Bolts connector strip 12 way 5A (2),Regin,2.48,These Regin 12-way strip connectors are made of white polyethylene material and include brass inserts and screws.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Regin Bits'n'Bolts connector strip 12 way 5A (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/14/NW-439214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P408664,F4P polyethylene strip connector 5A (1),F4P,1.17,A F4P 5A polythene strip connector.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> F4P polyethylene strip connector 5A (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/64/NW-408664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/408664_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PM10014,Doncaster 318-Y 3183y 1.5 5mtr coil per coil white,Doncaster,11.83,"Suitable for small to medium sized commercial or domestic electrical items, Doncaster 318-Y 9.4mm diameter ordinary duty cord is ideal for use with washing machines, televisions or toasters. Manufactured for applications where a normal risk of mechanical damage and mechanical stresses occurs, this white flexible cord is supplied on a 5M coil.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 318-Y 3183y 1.5 5mtr coil per coil white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/14/NW-M10014_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_Flexible_Cord_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P617083,Specialised Wiring ALT cable gland 6-12mm Light Grey (1),Specialised Wiring,0.32,This Specialised Wiring ALT 20mm diameter insulated cable gland is made using polyamide for excellent resistance to a wide variety of substances.,Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring ALT cable gland 6-12mm Light Grey (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/84/NW-617083_617084_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SWA_Accessories_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P617058,Specialised Wiring butt splice 15mm Yellow (100),Specialised Wiring,0.14,"These Specialised Wiring pre-insulated butt splice terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring butt splice 15mm Yellow (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/58/NW-617058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/Specialised_Wiring_Butt_Splices_Rev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PM10012,Doncaster 318-Y 3182y 2co 0.75mm 50mtr rl per reel Black,Doncaster,40.34,"Suitable for small to medium sized commercial or domestic electrical items, Doncaster 318-Y 7.2mm diameter ordinary duty cord is ideal for use with washing machines, televisions or toasters. Manufactured for applications where a normal risk of mechanical damage and mechanical stresses occurs, this white flexible cord is supplied on a 5M coil.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 318-Y 3182y 2co 0.75mm 50mtr rl per reel Black,,,"https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4-/15/E01109,M10004,12,14-15_wm.jpg",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Doncaster_Flexible_Cord_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PE01097,Doncaster 6491X single core electrical cable 10.0mm2 reel 50mtr Green/Yellow,Doncaster,4.58,"These cables are intended for installation in surface mounted or embedded conduits, or similar closed systems. These cables are suitable for use in channels with cover. Suitable for fixed protected installation in or on light fittings and inside applications, switchgear and controlgear, for voltages up to 750V a.c or up to 450V to earth d.c.. When installed in an earthed metal enclosure, cables are suitable for voltages up to 1000V a.c or up to 750V to earth d.c.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster 6491X single core electrical cable 10.0mm2 reel 50mtr Green/Yellow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/97/NW-E01097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Doncaster_6491X_Conduit_Cable_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P617007,Specialised Wiring ring terminal 5.3mm Red (100),Specialised Wiring,0.05,"These Specialised Wiring pre-insulated ring terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring ring terminal 5.3mm Red (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/07/NW-617007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_r/ev/SWA_Ring_Terminals_Rev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PM96174,"Walraven Britclip sliding wall bracket 16-24"" (50)",Walraven,2.33,"Making mounting jobs quick and easy, these Walraven Britclips 16 - 24"" rapid sliding wall brackets are suitable for the installation of electrical boxes, conduit and pipework. Supplied in a pack of 50, these brackets can be used in stud walls and floor joists made of wood or metal.","Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Walraven Britclip sliding wall bracket 16-24"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/74/NW-M96174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Walraven_Britclips_RSWB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Walraven_Britclips_Wall_Bracket_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P617042,Specialised Wiring push on terminal male 6.3mm Red (100),Specialised Wiring,0.06,"These Specialised Wiring pre-insulated push-on male terminals are manufactured in a pure electrolytic copper allowing for excellent electrical conductivity. The barrel internal surfaces are rifled, for good contact with conductor strands, and terminal annealed after final machining.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Specialised Wiring push on terminal male 6.3mm Red (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/42/NW-617042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SWA_Cable_Termination_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PM10006,Doncaster SY sy 2.5mm 4 core 50mtr rl per reel Clear,Doncaster,229.69,"Supplied in a 50M reel, this Doncaster SY 12.5mm power cable can be used as an interconnecting cable suitable for measurement, control or regulation in control equipment on assembly and production lines, in conveyors or for computer units. Popular for building and construction, rail and transport infrastructure, transmission and automation and process control applications, this cable is occasionally used in fixed installations under light mechanical stress. Well protected, SY cable can be used outdoor, however it is more commonly selected for indoor use in dry or moist conditions.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster SY sy 2.5mm 4 core 50mtr rl per reel Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/06/NW-M10005_M10006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_SY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PM10009,Doncaster SY sy 1.5mm 3 core 50mtr rl per reel Clear,Doncaster,123.73,"Suitable for use as an interconnecting cable, this Doncaster SY 10.9mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units, however it is most popularly chosen for building and construction applications, rail and transport infrastructure and for transmission and automation and process control applications. It can also be employed in fixed installations under light mechanical stress. Suitable for use indoors in dry or moist atmospheres, SY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster SY sy 1.5mm 3 core 50mtr rl per reel Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/NW-M10009_M10010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_SY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PM10013,Doncaster YY yy 2.5mm 3 core 50mtr rl per reel Grey,Doncaster,138.22,"Suitable for use as an interconnecting cable, this Doncaster YY 9mm power cable, supplied on a 50M reel, is manufactured for the measurement, control or regulation of the control equipment used on assembly and production lines. It is also suitable for use in conveyors or for computer units and, thanks to its flexibility, this cable is particularly recommended for linking fixed mobile equipment. Suitable for use indoors in dry or moist atmospheres, YY class 5 annealed copper cable is also well-protected enough for outdoor applications.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster YY yy 2.5mm 3 core 50mtr rl per reel Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/13/NW-M10013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Doncaster_YY_Control_Technical_Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PE01086,Doncaster H6242Y 2 core electrical cable 1.5mm2 reel 100mtr Grey,Doncaster,1.8,"Supplied on a 100M reel, this Doncaster two-core 1.5mm electrical cable is suitable for light industrial and domestic wiring tasks. These cables are ideal for use as meter tails and can be installed into both dry and damp locations or for conduit, cable trunking and cable ducting applications. Additionally, they may be directly clipped or laid on cable trays, embedded or installed in free air where the risk of mechanical damage is low. They are not, however, suitable for underground laying.",Trade Essentials/Electrical Essentials/Electrical Essentials.csv -> Doncaster H6242Y 2 core electrical cable 1.5mm2 reel 100mtr Grey,,REEL OF CABLE,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_v/14/V14_wm.jpg,,,,N,GREY,300/500V.,1.5,Class 1 to BS EN 60228,100 METRES,N/A,REEL,Plain annealed copper,PVC Type TI1 to BS EN 50363-3,2,1,-15°C to 70,4.7 x 8.6,PVC TYPE 6 to BS7655-4-2,1.38,BS6004,H6242Y1.5G100 .,PVC Insulated and PVC Sheathed cable with bare CPC,N,100M reel,,,,,,,,Grey colour,Plain annealed copper conductor,PVC sheathed with bare wire,Insulated,Circuit protective conductor 300/500V,PVC type to BS 7655-4-2,Meets BS 6004:2012,Class 1 to BS EN 60228,,,,,,,,,,,,,,,,
